Título,Data,Palavras chave,Comentário
Pessoas com deficiência e tecnologia,"October 19, 2022","Tecnologia, acessibilidade, pcd",nível de acessibilidade digital
Precisa de Ator para fazer Filme?,"October 5, 2022","cinema, deepfake, entretenimento, videochamada",Bruce Willis teria vendido seu rosto para uma empresa de Deep Fake
Controle de pais no instagram,"September 27, 2022","Meta, instagram, privacidade, segurança",notícia de setembro
Airtag: bons e ruins?,"September 14, 2022","airtag, apple, segurança",tecnologia boa ou ruim é o uso que damos a ela
Rumores de iPhone 14,"August 24, 2022","apple, iphone",ilustrar a notícia com alguns fatos sobre o mercado de smartphones
O Instagram que conhecemos vai acabar,"August 10, 2022","Meta, instagram, tik tok",notícia recente
Carne impressa em casa?,"August 3, 2022","alimentos, impressora 3d",impressoras 3D
5G em João Pessoa?,"August 3, 2022",,
mais uma da internet: não caia no golpe do trabalho em casa por meio período,"July 27, 2022","golpe, pix, segurança",mais um golpe: sempre interessa
Demissões nas startups de tecnologia,"June 29, 2022","Tecnologia, jobs, startup",notícias recentes
Google Duplex - robô que faz suas ligações telefônicas,"June 22, 2022","duplex, google, machine learning, robôs",lançamento no Brasil em 14/6
Entrevistas de emprego feitas por robôs,"June 15, 2022","machine learning, robôs, trabalho",
M2M - rastreamento via chip,"June 8, 2022","IOT, chips, m2m, rastreamento",a partir da notícia do parmesão rastreado
Pesquisa sobre 5G - atraso da implantação,"June 1, 2022","5g, smartphones",notícias recentes - podcast da CBN
temporizador no smartphone,"May 18, 2022","Redes sociais, android, iphone",de conversas fortuitas
smartphone fixo?,"May 11, 2022","iphone, segurança",mais sobre roubos e operações bancárias
Fuga de cérebros na tecnologia?,"April 27, 2022","educação, trabalho",devs trabalhando para fora
O que há no QR code,"April 20, 2022","pix, qrcode, smartphone",curiosidades
Telefones Burros,"April 13, 2022","celular, smartphone, vintage",Matéria do G1
iPhone por assinatura,"April 6, 2022","aluguel, apple, iphone",anúncio apple
senhas compartilhadas no Netflix,"March 23, 2022","netflix, segurança, senhas",notícia recente
Sequestro do instagram: até as operadoras!,"March 16, 2022","instagram, segurança",mais de utilidade pública
Ada Lovelace,"March 9, 2022","ada, mulheres",Semana da Mulher
"Uma mãe, uma filho, uma perda, uma rede social","March 2, 2022","memória, twitter",Morte e a tecnologia
Como uma simples decisão da Apple pode ter quebrado o Facebook,"February 23, 2022","apple, facebook, privacidade",
O lado ruim dos streamings de áudio,"February 16, 2022","podcasts, spotify, streaming","polêmica com Neil Young, mas foco nos prós e contras dos serviços de streaming"
100 things we’ve lost to the internet,"February 9, 2022","internet, livro, nostalgia",assunto meio aleatório
5G e aviões - e aí?,"February 2, 2022","5g, antenas, aviação",sugestão de Waleria
"Games, mercado e Aquisições","January 26, 2022","microsoft, playstation, videogames, xbox",notícia da microsoft comprando blizzard
Criptomoedas: a queda?,"January 19, 2022","bitcoin, criptomoeda",tentar trazer uma versão mais atual do investimento em criptomoeda
Retrospectiva 2021,"December 29, 2021","2021, Retrospectiva",
Por que uma falha nos servidores da Amazon travou tudo?,"December 22, 2021","amazon, aws, nuvem",metáforas
"Mudanças no Twitter, a Rede Social de quem não gosta das redes sociais","December 15, 2021","Redes sociais, toxicidade, twitter",
"Por que a falta de chips continua, e continua, e continua...","November 24, 2021","chips, mercado, preços",
Tudo agora é Metaverso?,"November 17, 2021","Meta, facebook, metaverso",
"Leilão 5G feito, e agora?","November 10, 2021","5g, smart cities, smartphone",volta das mini-férias
Muito tempo de tela - o que isso faz conosco?,"October 20, 2021","covid-19, saúde, smartphone",ultimo antes das férias
Metaverso - quando estaremos nele?,"October 13, 2021","facebook, metaverso",
A Queda!,"October 6, 2021","facebook, falha, instagram, whatsapp",no calor da hora
Obsolescência dos smartphones,"September 22, 2021","apple, iphone, smartphone",
É bom programar no dia da(o) programador?,"September 15, 2021","Programação, educação",13/9 dia do programador
A tecnologia vestível na saúde,"September 8, 2021","smartwatch, wearable",
Touchless: pagando sem contato,"September 1, 2021","NFC, cartão, pagamento, touchless",
IBM PC já tem 40 anos!,"August 18, 2021","historia, ibm, personalcomputer",
Dá pra viver sem emojis?,"August 11, 2021","chat, emoji, smartphone, whatsapp",será que dá certo?
Você em breve vai ver smartphones dobráveis na mão dos brasileiros,"August 4, 2021","dobráveis, samsung, smartphone",
"a Paraíba é medalha de ouro nas olimpíadas…de programação de computadores ","July 28, 2021","Computação@ufcg, Programação, ufcg",
"Descontos em farmácia só com impressão digital, pode?","July 14, 2021","LGPD, biometria, dados",LGPD e efeitos
Tratamento de fotos considerado nocivo?,"July 7, 2021","fotos, instagram, photoshop",
Roubo de celulares ligados a frequentes desfalques em contas de clientes...falha de segurança?,"June 30, 2021","android, apple, iphone, procon, samsung, senhas",
WiFi gratuito em viagens aéreas: como eles conseguem?,"June 23, 2021","aviação, azul, wifi, wireless","Demorou pra achar um tema "
Precisamos falar sobre os áudios do Whatsapp,"June 9, 2021","comportamento, smartphone, whatsapp, áudio","pegada psicológica, sociológica? "
"Baterias, como lidar com elas?","June 2, 2021","baterias, energia, smartphone",
NFT: obras de arte digitais?,"May 26, 2021","blockchain, nft, smartphone",
Whatsapp: mudanças de privacidade,"May 19, 2021","facebook, privacidade, smartphone, whatsapp","Mais notícia, menos análise"
O que um desenho animado antigo mostra da forma como lidamos com os avanços tecnológicos?,"May 12, 2021","5g, cultura, inovação",indicação de ouvinte!
Carro autônomo já está dirigindo por aí?,"May 5, 2021","carros, machine learning",
Encarecimento de produtos tecnológicos no Brasil e no mundo,"April 21, 2021","chips, covid-19, preços, smartphone",
Criptomoedas,"April 14, 2021","bitcoin, blockchain, dinheiro",
Todo mundo imita o Clubhouse,"April 7, 2021","audio, clubhouse, discord, instagram",
Tiramos tantas fotos digitais que talvez precisemos de um curador para sua coleção,"March 31, 2021","camera, fotos, smartphones, xiaomi",
Videochamadas e a exaustão,"March 24, 2021","cansaço, meet, videochamada, zoom",
Um ano de pandemia. O que a tecnologia fez pra nos salvar?,"March 17, 2021","covid-19, pandemia",tema mais filosófico
Deep Nostalgia e a surpresa estranha de animar fotos antigas,"March 10, 2021","deep learning, deepnostalgia, fotografia, machine learning",apareceu o tema no Domingo
Leilão 5G aprovado. Mas o que é 5G?,"March 3, 2021","5g, IOT, anatel",
Tendências que devem mudar a forma como pagamos nossas compras e contas,"February 24, 2021","compras, dinheiro, pagamento",Comecei já na quarta a escrever
"BBB, redes sociais: a raiz do engajamento","February 17, 2021","Bbb, Raiva, Redes sociais, facebook, whatsapp",
O tempo se esvai nas redes sociais,"February 10, 2021","Redes sociais, instagram, vicio","sem ideia, veio isso"
O Maior Vazamento de Dados da História do Brasil,"February 3, 2021","LGPD, dados, serasa",
Novidades da CES 2021,"January 27, 2021","CES, novidades, smartphones, tvs",
As redes sociais estão nos vigiando? Vários desconfiam que estamos sendo monitorados até o nível de sermos “escutados” em conversas íntimas. Será mesmo?,"January 20, 2021","Redes sociais, facebook, instagram",
Roubo e furto de dispositivos e o mercado de seguros para aparelhos no Brasil e no mundo.,"January 13, 2021","furtos, roubos, seguro, smartphone",
Como o streaming mudou nossa forma de ouvir música,"January 6, 2021","apple music, musica, spotify, streaming",
Retrospectiva 2020,"December 30, 2020","Redes sociais, Retrospectiva, Tecnologia",
Google e Facebook vs Governos,"December 23, 2020","e-gov, governo",
Dispositivos para comandos de voz,"December 16, 2020","IOT, alexa, siri, voz",
Receita digital,"December 9, 2020","certificado digital, memed, receita, sms, whatsapp",Só ruido e graves e agudos; melhor com mic do próprio macbook
Mulheres na Tecnologia,"December 2, 2020","elas@computacao, mulheres, ufcg",Editei meu próprio som
Black Friday,"November 25, 2020","android, samsung",som ficou ruim do jeito que mandei. Vou editar a partir de agora
Iphone 12,"November 18, 2020","M1, apple, iphone",Ao vivo no estúdio
,,,
,,,
Redes sociais são uma Crise para a Humanidade esperando estourar?,,"Redes sociais, instagram, twitter, whatsapp","Tema polêmico, ir com cuidado"
Redes sociais e eleições,,,
